id,keywords
2.0,"[{'id': 240, 'name': 'underdog'}, {'id': 378, 'name': 'prison'}, {'id': 730, 'name': 'factory worker'}, {'id': 1563, 'name': 'prisoner'}, {'id': 1787, 'name': 'helsinki, finland'}, {'id': 13072, 'name': 'falling in love'}]"
3.0,"[{'id': 1361, 'name': 'salesclerk'}, {'id': 1787, 'name': 'helsinki, finland'}, {'id': 3700, 'name': 'garbage'}]"
5.0,"[{'id': 612, 'name': 'hotel'}, {'id': 613, 'name': ""new year's eve""}, {'id': 616, 'name': 'witch'}, {'id': 622, 'name': 'bet'}, {'id': 922, 'name': 'hotel room'}, {'id': 2700, 'name': 'sperm'}, {'id': 9706, 'name': 'anthology'}, {'id': 12670, 'name': 'los angeles, california'}, {'id': 160488, 'name': 'hoodlum'}, {'id': 171366, 'name': 'multiple storylines'}, {'id': 187056, 'name': 'woman director'}]"
6.0,"[{'id': 520, 'name': 'chicago, illinois'}, {'id': 2231, 'name': 'drug dealer'}, {'id': 10685, 'name': 'escape'}, {'id': 162914, 'name': 'one night'}, {'id': 209476, 'name': 'boxing'}]"
8.0,"[{'id': 215272, 'name': 'megacities'}]"
9.0,"[{'id': 544, 'name': 'sailboat'}, {'id': 3737, 'name': 'dying and death'}]"
